Gene ID	Gene Name	DO221123	DO221124	DO221127	DO221129	DO222303	DO222304	DO222305	DO222306	DO222307	DO222308	DO222309	DO27763	DO27764	DO27765	DO27767	DO27769	DO27773	DO27775	DO27777	DO27779
ENSG00000003147	ICA1	4.0	6.0	1.0	4.0	3.0	2.0	13.0	3.0	7.0	4.0	7.0	1.0	0.6	0.7	3.0	1.0	12.0	1.0	7.0	11.0
ENSG00000003249	DBNDD1	1.0	0.9		1.0	0.6	0.3	0.1	0.2	0.3	7.0	3.0	2.0	0.2	0.1	0.3	0.4	2.0	0.3	2.0	5.0
ENSG00000003393	ALS2	6.0	7.0	2.0	9.0	1.0	2.0	2.0	2.0	2.0	3.0	2.0	3.0	4.0	4.0	5.0	2.0	11.0	3.0	6.0	6.0
ENSG00000003400	CASP10	3.0	9.0	4.0	12.0	3.0	0.8	2.0	2.0	1.0	1.0	2.0	0.8	0.9	2.0	6.0	2.0	7.0	1.0	5.0	2.0
ENSG00000003402	CFLAR	26.0	25.0	26.0	42.0	8.0	40.0	31.0	15.0	30.0	23.0	20.0	5.0	4.0	6.0	17.0	6.0	34.0	11.0	36.0	21.0
ENSG00000003436	TFPI	3.0	3.0	1.0	5.0	5.0	2.0	2.0	2.0	1.0	1.0	2.0	1.0	0.6	1.0	5.0	2.0	7.0	3.0	8.0	5.0
ENSG00000003509	NDUFAF7	22.0	19.0	15.0	26.0	13.0	15.0	22.0	11.0	12.0	6.0	12.0	21.0	22.0	17.0	17.0	23.0	49.0	29.0	12.0	25.0
ENSG00000003756	RBM5	39.0	53.0	9.0	60.0	21.0	36.0	22.0	29.0	27.0	29.0	29.0	48.0	63.0	43.0	25.0	40.0	125.0	51.0	30.0	33.0
ENSG00000003987	MTMR7	0.4	0.5	0.1	0.8	0.3	0.1	0.1	0.2	0.2	0.7	0.3	0.9	0.9	0.6	0.4	0.3	1.0	0.7	0.4	1.0
ENSG00000003989	SLC7A2	2.0	2.0	0.5	2.0	0.9	0.3	0.7	0.5	0.8	3.0	2.0	1.0	0.4	0.7	4.0	3.0	4.0	2.0	5.0	2.0
ENSG00000004059	ARF5	179.0	166.0	278.0	155.0	205.0	323.0	286.0	330.0	423.0	322.0	383.0	198.0	391.0	248.0	160.0	135.0	167.0	128.0	105.0	162.0
ENSG00000004139	SARM1	1.0	0.8	0.5	3.0	0.4	1.0	0.4	0.2	0.5	0.5	0.7	2.0	1.0	4.0	2.0	2.0	7.0	2.0	5.0	0.8
ENSG00000004142	POLDIP2	126.0	114.0	85.0	97.0	153.0	172.0	181.0	155.0	149.0	135.0	133.0	138.0	134.0	141.0	118.0	155.0	115.0	102.0	155.0	91.0
ENSG00000004399	PLXND1	109.0	46.0	14.0	37.0	30.0	13.0	38.0	44.0	24.0	21.0	56.0	26.0	9.0	12.0	67.0	14.0	29.0	34.0	75.0	34.0
ENSG00000004455	AK2	145.0	110.0	134.0	87.0	121.0	58.0	86.0	95.0	129.0	97.0	110.0	96.0	91.0	119.0	85.0	124.0	80.0	114.0	67.0	113.0
ENSG00000004468	CD38	9.0	58.0	18.0	26.0	33.0	30.0	13.0	9.0	14.0	18.0	7.0	112.0	97.0	92.0	75.0	63.0	38.0	112.0	28.0	9.0
ENSG00000004478	FKBP4	76.0	60.0	54.0	70.0	166.0	83.0	55.0	122.0	134.0	68.0	111.0	134.0	119.0	199.0	148.0	225.0	48.0	218.0	107.0	51.0
ENSG00000004487	KDM1A	82.0	56.0	23.0	50.0	37.0	38.0	47.0	30.0	37.0	69.0	58.0	71.0	104.0	134.0	63.0	90.0	51.0	71.0	27.0	51.0
ENSG00000004534	RBM6	71.0	204.0	11.0	68.0	40.0	78.0	54.0	46.0	56.0	47.0	54.0	131.0	131.0	71.0	56.0	88.0	146.0	114.0	61.0	100.0
ENSG00000004660	CAMKK1	2.0	1.0	0.9	2.0	2.0	2.0	0.8	1.0	1.0	0.7	2.0	2.0	1.0	0.9	1.0	2.0	2.0	0.7	1.0	1.0
ENSG00000004700	RECQL	78.0	93.0	29.0	75.0	13.0	13.0	26.0	17.0	12.0	25.0	19.0	28.0	27.0	46.0	62.0	42.0	91.0	46.0	42.0	34.0
ENSG00000004766	VPS50	13.0	12.0	5.0	14.0	4.0	4.0	4.0	9.0	4.0	4.0	5.0	7.0	12.0	7.0	13.0	9.0	20.0	11.0	12.0	9.0
ENSG00000004776	HSPB6	1.0	2.0	0.4	1.0	6.0	1.0	0.9	0.5	0.6	1.0	4.0	2.0	2.0	2.0	25.0	4.0	2.0	0.8	2.0	20.0
ENSG00000004777	ARHGAP33	15.0	9.0	2.0	35.0	5.0	6.0	3.0	3.0	10.0	6.0	6.0	21.0	30.0	28.0	9.0	19.0	21.0	20.0	5.0	10.0
ENSG00000004779	NDUFAB1	152.0	101.0	263.0	87.0	355.0	219.0	175.0	209.0	248.0	291.0	243.0	140.0	126.0	174.0	99.0	209.0	75.0	162.0	85.0	70.0
ENSG00000004799	PDK4	4.0	12.0	3.0	3.0	10.0	1.0	0.9	1.0	1.0	0.1	1.0	8.0	6.0	3.0	21.0	63.0	18.0	2.0	3.0	30.0
ENSG00000004809	SLC22A16		0.1	0.3	0.1				0.2	0.1	0.1	0.5		0.3	0.1	0.4			0.1	0.1	0.1
ENSG00000004838	ZMYND10	0.7	1.0	0.2	0.9	0.9	2.0	0.6	1.0	0.4	0.8	3.0	1.0	2.0	1.0	0.8	1.0	1.0	1.0	0.5	0.7
ENSG00000004846	ABCB5					0.2	0.1							0.1					0.1		0.1
ENSG00000004848	ARX	0.2	0.4		0.1	0.1	0.1	0.1			0.5	0.1	0.2	0.1	0.1		0.2		0.1	14.0	0.7
ENSG00000004864	SLC25A13	33.0	29.0	9.0	19.0	9.0	17.0	10.0	28.0	30.0	25.0	15.0	17.0	15.0	21.0	23.0	21.0	16.0	20.0	18.0	23.0
ENSG00000004866	ST7	8.0	10.0	5.0	8.0	2.0	12.0	4.0	12.0	4.0	13.0	5.0	5.0	15.0	4.0	7.0	5.0	4.0	4.0	7.0	6.0
ENSG00000004897	CDC27	64.0	49.0	26.0	41.0	20.0	17.0	19.0	14.0	21.0	19.0	22.0	42.0	39.0	43.0	50.0	53.0	67.0	50.0	37.0	32.0
ENSG00000004939	SLC4A1	0.1	0.1		0.2	0.4		0.1						0.9	0.1			0.4	0.2	0.6	0.2
ENSG00000004948	CALCR			0.1	0.1	0.2	0.1	0.1					0.1	0.2	0.1	0.2	0.1				0.3
ENSG00000004961	HCCS	46.0	54.0	41.0	35.0	25.0	26.0	32.0	29.0	34.0	49.0	39.0	25.0	25.0	24.0	24.0	29.0	34.0	31.0	39.0	47.0
ENSG00000004975	DVL2	29.0	16.0	15.0	23.0	12.0	22.0	17.0	19.0	19.0	10.0	18.0	24.0	39.0	39.0	30.0	35.0	31.0	25.0	12.0	14.0
ENSG00000005001	PRSS22	0.7	0.1		0.1	0.2		0.1		0.1		0.3	0.1	1.0	0.2			0.1	0.1	0.5	
ENSG00000005007	UPF1	64.0	43.0	11.0	68.0	32.0	41.0	45.0	35.0	39.0	38.0	43.0	55.0	59.0	72.0	60.0	63.0	69.0	54.0	56.0	25.0
ENSG00000005020	SKAP2	104.0	92.0	37.0	101.0	13.0	26.0	30.0	56.0	34.0	34.0	34.0	13.0	49.0	24.0	50.0	35.0	55.0	36.0	79.0	56.0
ENSG00000005022	SLC25A5	1000.0	1753.0	2785.0	690.0	1188.0	1027.0	2357.0	1334.0	1656.0	2688.0	1505.0	766.0	833.0	1057.0	647.0	1123.0	563.0	989.0	1721.0	512.0
ENSG00000005059	MCUB	58.0	57.0	33.0	50.0	32.0	17.0	30.0	32.0	36.0	13.0	44.0	89.0	113.0	56.0	42.0	73.0	85.0	64.0	22.0	33.0
ENSG00000005073	HOXA11	0.1		0.7		0.3		0.2						0.1		0.1			0.1	3.0	1.0
ENSG00000005075	POLR2J	142.0	107.0	124.0	82.0	250.0	228.0	186.0	355.0	249.0	135.0	226.0	219.0	302.0	158.0	142.0	143.0	98.0	131.0	119.0	95.0
ENSG00000005100	DHX33	23.0	10.0	8.0	31.0	16.0	8.0	7.0	11.0	9.0	3.0	9.0	31.0	21.0	36.0	35.0	34.0	16.0	34.0	21.0	10.0
ENSG00000005102	MEOX1	14.0	9.0	6.0	14.0	16.0	12.0	6.0	4.0	5.0	6.0	12.0	3.0	2.0	2.0	12.0	3.0	12.0	8.0	7.0	6.0
ENSG00000005108	THSD7A	0.3	0.5	0.7	3.0	0.3	0.1	0.2	0.1	0.1	0.5	0.1	0.1	0.1	0.5	2.0	0.3	1.0	0.6	0.5	0.8
ENSG00000005156	LIG3	11.0	12.0	3.0	14.0	5.0	5.0	7.0	4.0	5.0	6.0	5.0	10.0	13.0	22.0	17.0	13.0	10.0	13.0	17.0	7.0
ENSG00000005175	RPAP3	84.0	69.0	42.0	59.0	30.0	34.0	39.0	44.0	39.0	96.0	37.0	39.0	44.0	50.0	45.0	64.0	64.0	54.0	69.0	53.0
ENSG00000005187	ACSM3	2.0	1.0	1.0	4.0	0.5	1.0	0.8	1.0	0.7	0.1	0.8	0.4	0.5	0.8	0.8	0.3	6.0	1.0	1.0	1.0
ENSG00000005189	REXO5	9.0	8.0	4.0	3.0	5.0	5.0	9.0	9.0	8.0	16.0	4.0	18.0	10.0	11.0	8.0	6.0	5.0	8.0	4.0	8.0
ENSG00000005194	CIAPIN1	42.0	36.0	27.0	40.0	39.0	28.0	46.0	41.0	49.0	33.0	47.0	40.0	49.0	55.0	32.0	38.0	40.0	41.0	45.0	28.0
ENSG00000005206	SPPL2B	19.0	27.0	6.0	45.0	26.0	32.0	16.0	18.0	32.0	31.0	35.0	34.0	56.0	44.0	15.0	22.0	44.0	45.0	30.0	12.0
ENSG00000005238	FAM214B	10.0	7.0	4.0	8.0	5.0	4.0	7.0	8.0	5.0	6.0	9.0	3.0	4.0	3.0	7.0	2.0	6.0	4.0	13.0	5.0
ENSG00000005243	COPZ2	10.0	9.0	19.0	2.0	16.0	5.0	9.0	11.0	19.0	11.0	27.0	18.0	3.0	1.0	11.0	3.0	7.0	4.0	4.0	19.0
ENSG00000005249	PRKAR2B	9.0	26.0	122.0	24.0	54.0	8.0	3.0	111.0	4.0	13.0	2.0	224.0	194.0	75.0	337.0	340.0	13.0	213.0	17.0	11.0
ENSG00000005302	MSL3	34.0	55.0	49.0	58.0	15.0	30.0	15.0	20.0	24.0	24.0	36.0	29.0	27.0	28.0	20.0	26.0	93.0	32.0	29.0	56.0
ENSG00000005339	CREBBP	25.0	15.0	4.0	38.0	5.0	8.0	6.0	6.0	6.0	5.0	7.0	17.0	18.0	22.0	33.0	26.0	50.0	19.0	28.0	13.0
ENSG00000005379	TSPOAP1	6.0	20.0	1.0	14.0	1.0	2.0	13.0	0.3	2.0	2.0	5.0	2.0	5.0	5.0	5.0	1.0	22.0	4.0	5.0	6.0
ENSG00000005381	MPO	0.1	0.4	0.3	0.5	0.3	0.2	0.1	0.2	0.1		0.5		0.3	0.3	0.4	0.1	2.0	0.1	0.5	0.1
ENSG00000005421	PON1					0.4					0.2		0.1	0.1							
ENSG00000005436	GCFC2	16.0	16.0	7.0	16.0	7.0	8.0	10.0	9.0	1.0	10.0	10.0	18.0	16.0	25.0	13.0	17.0	25.0	20.0	18.0	18.0
ENSG00000005448	WDR54	48.0	25.0	45.0	17.0	69.0	65.0	91.0	63.0	64.0	55.0	100.0	35.0	46.0	46.0	27.0	53.0	19.0	28.0	14.0	30.0
ENSG00000005469	CROT	6.0	9.0	4.0	9.0	3.0	4.0	4.0	6.0	5.0	4.0	4.0	4.0	6.0	7.0	6.0	6.0	12.0	8.0	7.0	6.0
ENSG00000005471	ABCB4	2.0	3.0	1.0	7.0	0.4	4.0	0.6	0.4	2.0	1.0	1.0	4.0	11.0	2.0	2.0	0.8	12.0	5.0	25.0	4.0
ENSG00000005483	KMT2E	41.0	38.0	10.0	60.0	5.0	9.0	3.0	6.0	5.0	6.0	5.0	30.0	48.0	34.0	54.0	26.0	104.0	32.0	43.0	28.0
ENSG00000005486	RHBDD2	27.0	31.0	14.0	44.0	50.0	49.0	50.0	71.0	45.0	98.0	66.0	22.0	40.0	38.0	34.0	21.0	45.0	23.0	40.0	22.0
ENSG00000005513	SOX8	7.0	0.4	0.1	5.0	7.0	0.5	1.0	0.2	0.4	4.0	16.0	5.0	0.4	0.1	15.0	36.0	5.0	2.0	11.0	0.3
ENSG00000005700	IBTK	27.0	31.0	10.0	29.0	6.0	12.0	8.0	6.0	9.0	9.0	10.0	14.0	16.0	20.0	20.0	17.0	40.0	28.0	19.0	22.0
ENSG00000005801	ZNF195	19.0	17.0	13.0	17.0	10.0	10.0	8.0	7.0	12.0	8.0	10.0	43.0	30.0	36.0	18.0	18.0	18.0	29.0	14.0	23.0
ENSG00000005810	MYCBP2	44.0	38.0	6.0	83.0	8.0	7.0	6.0	5.0	8.0	3.0	9.0	17.0	20.0	28.0	47.0	30.0	93.0	31.0	44.0	29.0
ENSG00000005812	FBXL3	46.0	45.0	26.0	42.0	12.0	17.0	15.0	16.0	19.0	10.0	19.0	19.0	22.0	19.0	31.0	29.0	88.0	33.0	32.0	46.0
ENSG00000005844	ITGAL	82.0	69.0	16.0	140.0	30.0	32.0	24.0	20.0	47.0	65.0	72.0	16.0	22.0	23.0	85.0	42.0	175.0	50.0	98.0	12.0
ENSG00000005882	PDK2	6.0	7.0	4.0	8.0	4.0	7.0	6.0	5.0	4.0	5.0	5.0	6.0	5.0	8.0	11.0	8.0	12.0	4.0	14.0	6.0
ENSG00000005884	ITGA3	3.0	2.0	1.0	5.0	6.0	5.0	3.0	7.0	0.9	2.0	7.0	5.0	0.8	7.0	14.0	10.0	11.0	6.0	9.0	5.0
ENSG00000005889	ZFX	12.0	28.0	5.0	17.0	3.0	5.0	3.0	3.0	2.0	6.0	6.0	9.0	11.0	13.0	11.0	10.0	22.0	13.0	18.0	15.0
ENSG00000005893	LAMP2	90.0	128.0	125.0	50.0	22.0	25.0	46.0	32.0	33.0	72.0	34.0	17.0	22.0	28.0	75.0	34.0	57.0	43.0	103.0	53.0
ENSG00000005955	ENSG00000005955	42.0	39.0	8.0	34.0	12.0	12.0	17.0	13.0	16.0	15.0	16.0	32.0	29.0	24.0	24.0	37.0	65.0	29.0	23.0	49.0
ENSG00000005961	ITGA2B	0.2	0.1		0.3	0.4	0.1	0.4	0.2	0.2	0.1	0.3	0.2	2.0	0.3	0.1	0.2	0.2	0.2	0.2	0.1
ENSG00000005981	ASB4					0.2	0.1	0.1			0.1			0.1		0.1					0.1
ENSG00000006007	GDE1	32.0	36.0	34.0	30.0	21.0	26.0	18.0	28.0	23.0	59.0	28.0	16.0	20.0	23.0	39.0	33.0	32.0	25.0	24.0	21.0
ENSG00000006015	REX1BD	36.0	24.0	64.0	42.0	93.0	63.0	61.0	60.0	104.0	48.0	112.0	42.0	43.0	46.0	21.0	36.0	41.0	41.0	23.0	17.0
ENSG00000006016	CRLF1	3.0	2.0	1.0	2.0	4.0	1.0	0.6	1.0	1.0	0.6	3.0	4.0	3.0	3.0	2.0	4.0	2.0	4.0	3.0	6.0
ENSG00000006025	OSBPL7	11.0	10.0	2.0	22.0	8.0	13.0	7.0	13.0	9.0	14.0	12.0	10.0	15.0	11.0	8.0	8.0	31.0	11.0	12.0	7.0
ENSG00000006042	TMEM98	3.0	7.0	2.0	0.9	1.0	0.9	4.0	1.0	4.0	3.0	4.0	4.0	1.0	0.6	10.0	3.0	1.0	2.0	3.0	4.0
ENSG00000006047	YBX2					0.1							0.8	0.5	0.6	0.2	0.7	0.3	0.1	0.1	0.4
ENSG00000006059	KRT33A					0.1					0.1			0.1							0.1
ENSG00000006062	MAP3K14	33.0	21.0	5.0	110.0	14.0	26.0	34.0	20.0	27.0	18.0	35.0	12.0	15.0	14.0	18.0	11.0	57.0	15.0	38.0	17.0
ENSG00000006071	ABCC8				0.2	0.1		0.2			0.7	0.2		0.4	0.1			0.1			0.2
ENSG00000006074	ENSG00000006074	56.0	120.0	209.0	399.0	507.0	105.0	49.0	68.0	245.0	30.0	66.0	266.0	401.0	201.0	424.0	657.0	74.0	76.0	263.0	160.0
ENSG00000006075	ENSG00000006075	16.0	8.0	33.0	34.0	71.0	37.0	36.0	30.0	64.0	19.0	39.0	26.0	13.0	50.0	38.0	36.0	16.0	47.0	203.0	32.0
ENSG00000006114	ENSG00000006114	23.0	19.0	5.0	41.0	9.0	12.0	9.0	11.0	6.0	10.0	9.0	16.0	13.0	21.0	23.0	20.0	57.0	20.0	17.0	13.0
ENSG00000006116	CACNG3		0.1		0.1	0.1		0.3				0.1		0.2					0.1		
ENSG00000006118	TMEM132A	8.0	4.0	2.0	4.0	3.0	3.0	4.0	23.0	7.0	14.0	12.0	2.0	0.8	0.7	5.0	2.0	0.9	7.0	4.0	8.0
ENSG00000006125	AP2B1	79.0	64.0	25.0	91.0	27.0	40.0	54.0	34.0	42.0	39.0	46.0	45.0	46.0	60.0	83.0	55.0	128.0	44.0	63.0	52.0
ENSG00000006128	TAC1					0.1								0.3							
ENSG00000006194	ZNF263	13.0	24.0	8.0	17.0	9.0	11.0	8.0	10.0	11.0	6.0	12.0	13.0	12.0	9.0	10.0	14.0	19.0	14.0	15.0	7.0
ENSG00000006210	CX3CL1	6.0	6.0	2.0	13.0	15.0	12.0	13.0	6.0	9.0	24.0	12.0	1.0	2.0	3.0	6.0	5.0	6.0	0.9	6.0	16.0
ENSG00000006282	SPATA20	29.0	34.0	10.0	30.0	13.0	46.0	32.0	35.0	27.0	23.0	43.0	12.0	4.0	4.0	9.0	8.0	12.0	8.0	59.0	13.0
ENSG00000006283	CACNA1G	1.0	0.7	0.1	0.2	0.2		0.2	0.1			1.0	0.2	0.3		0.4	0.1	0.2	0.3	0.1	0.1
ENSG00000006327	TNFRSF12A	30.0	11.0	17.0	4.0	5.0	2.0	7.0	7.0	7.0	13.0	12.0	5.0	3.0	2.0	8.0	4.0	2.0	25.0	5.0	17.0
ENSG00000006377	DLX6	0.1	0.1		0.2	0.3	0.1	0.8			0.1	0.1	0.1	0.3		0.1		0.5	0.1	8.0	0.6
ENSG00000006432	MAP3K9	4.0	3.0	0.4	3.0	1.0	2.0	1.0	3.0	0.4	3.0	2.0	3.0	4.0	4.0	2.0	4.0	8.0	3.0	11.0	2.0
ENSG00000006451	RALA	80.0	54.0	53.0	55.0	29.0	30.0	39.0	75.0	113.0	49.0	48.0	44.0	61.0	46.0	56.0	57.0	54.0	54.0	37.0	69.0
ENSG00000006453	BAIAP2L1	1.0	0.7	0.4	0.9	1.0	2.0	21.0	0.3	4.0	0.6	1.0	0.9	0.5	0.8	2.0	0.6	4.0	0.6	14.0	12.0
ENSG00000006459	KDM7A	26.0	13.0	2.0	21.0	2.0	4.0	4.0	2.0	1.0	5.0	9.0	6.0	15.0	10.0	13.0	5.0	46.0	15.0	21.0	10.0
ENSG00000006468	ETV1	1.0	1.0	1.0	2.0	0.3	0.2	0.3	6.0	0.4	0.3	0.5	0.4	0.2	0.2	3.0	0.5	2.0	0.3	1.0	1.0
ENSG00000006530	AGK	21.0	19.0	9.0	20.0	6.0	8.0	6.0	9.0	10.0	6.0	7.0	18.0	28.0	27.0	16.0	18.0	22.0	18.0	14.0	16.0
ENSG00000006534	ALDH3B1	7.0	8.0	3.0	8.0	7.0	4.0	6.0	11.0	5.0	5.0	7.0	3.0	2.0	2.0	9.0	3.0	2.0	3.0	7.0	5.0
ENSG00000006555	TTC22	0.7	0.4	0.1	3.0	0.6	0.3	0.3	0.1	0.1	0.5	0.7	0.7	0.2	0.2	1.0	0.1	4.0	0.9	6.0	4.0
ENSG00000006576	PHTF2	24.0	18.0	24.0	29.0	7.0	11.0	6.0	12.0	7.0	10.0	6.0	19.0	29.0	15.0	22.0	18.0	39.0	24.0	22.0	18.0
ENSG00000006606	CCL26	0.5	0.8	0.2	0.5	0.6	0.9		0.2	4.0	2.0	0.8	0.3	0.8	0.3	1.0	0.2	0.3	2.0	0.1	1.0
ENSG00000006607	FARP2	8.0	7.0	4.0	11.0	3.0	3.0	5.0	3.0	4.0	3.0	3.0	4.0	4.0	8.0	8.0	7.0	16.0	9.0	12.0	4.0
ENSG00000006611	USH1C				0.1	0.2				0.1		0.1									0.1
ENSG00000006625	GGCT	80.0	85.0	66.0	60.0	89.0	72.0	80.0	114.0	159.0	82.0	75.0	111.0	142.0	135.0	112.0	127.0	51.0	122.0	72.0	81.0
ENSG00000006634	DBF4	44.0	30.0	19.0	28.0	13.0	14.0	12.0	22.0	22.0	18.0	20.0	56.0	68.0	47.0	49.0	49.0	26.0	42.0	27.0	30.0
ENSG00000006638	TBXA2R	2.0	1.0	0.9	1.0	4.0	1.0	2.0	2.0	1.0	2.0	3.0	0.7	4.0	3.0	2.0	1.0	1.0	1.0	0.4	3.0
ENSG00000006652	IFRD1	13.0	12.0	9.0	13.0	5.0	6.0	7.0	19.0	9.0	10.0	8.0	16.0	25.0	31.0	16.0	14.0	20.0	21.0	9.0	14.0
ENSG00000006659	LGALS14			0.1				0.1									0.5	0.1		0.1	0.1
ENSG00000006695	COX10	21.0	11.0	10.0	24.0	13.0	11.0	16.0	11.0	11.0	9.0	11.0	16.0	14.0	22.0	19.0	23.0	17.0	18.0	13.0	13.0
